Buurtnaam;gemiddeld patbly;gemiddeld pbly;gemiddelde grondbly;totaalbly;gemiddeld nrbodey;gemiddeld nrhgy;aantal personen;percentage totaal
A;82.17;94.75;90.83;267.75;1.5;0.83;12;1.6
B;83.55;146.45;90.55;320.55;2.32;0.45;22;2.9
C;77.54;94.27;142.19;314;1.96;0.92;26;3.5
D;68.32;96.47;101.74;266.53;1.37;1.11;19;2.5
E;96.76;133.65;111;341.41;1.65;0.82;17;2.3
F;48.44;80.13;91.19;219.76;1.44;0.13;16;2.1
G;75.09;100.27;99.82;275.18;1;0.64;11;1.5
H;97.88;154;82;333.88;1.35;0.29;17;2.3
J;49.94;71.39;81.06;202.39;1.5;0.56;18;2.4
K;92.06;95.63;73.19;260.88;1.25;0.88;16;2.1
L;76.52;86.22;126.37;289.11;1.3;0.63;27;3.6
M;80;90.38;82.69;253.07;1.5;0.25;16;2.1
N;66.25;82.08;85.67;234;1.5;0.25;12;1.6
O;100;58.67;31.67;190.34;1;3.33;3;0.4
P;41.13;85.5;122.25;248.88;1.63;0.88;8;1.1
Q;71.29;66.86;37.43;175.58;2.43;1;7;0.9
R;148;100.33;144.67;393;1;1;3;0.4
S;0;13;108;121;0;4;1;0.1
T;40.2;38.6;151.6;230.4;0.8;0.4;5;0.7
U;132.5;135.27;64.81;332.58;1.69;0.54;26;3.5
V;53.85;129.31;74.92;258.08;1.31;0.23;13;1.7
W;45.85;100.52;125.26;271.63;1.67;0.67;27;3.6
X;86.04;235.9;106.5;428.44;2.33;0.48;48;6.4
Y;80.32;203.87;97.97;382.16;2.61;0.61;31;4.1
Z;93.11;142.61;51.58;287.3;1.81;0.42;36;4.8
AA;103.76;230.72;114.92;449.4;2.56;0.28;25;3.3
BB;77.81;137.25;80.13;295.19;1.31;0.19;16;2.1
CC;35.83;119.96;94.22;250.01;1.52;0.48;23;3.1
DD;38.44;77.56;79.67;195.67;1.56;0.11;9;1.2
EE;20.5;97;63.5;181;1;0;2;0.3
FF;176.5;116.83;149.67;443;1.83;0;6;0.8
GG;34;36;56.5;126.5;2;0.5;4;0.5
HH;124.58;233.83;90.58;448.99;2.08;0.42;12;1.6
JJ;93.59;184.93;85.85;364.37;2.26;0.52;27;3.6
KK;128.76;183.38;82.32;394.46;1.74;0.54;50;6.6
LL;79.51;173.62;96.51;349.64;1.85;0.62;39;5.2
MM;70.25;61.25;62.75;194.25;1;0.25;4;0.5
NN;13;11;116;140;0;0;1;0.1
OO;21.83;29.83;133.33;184.99;1.5;0.33;6;0.8
PP;42;44;187;273;0;0;1;0.1
QQ;0;12;154;166;0.5;2.5;2;0.3
RR;115.71;132.38;49.38;297.47;2.38;0.14;21;2.8
SS;83.85;136.69;110.08;330.62;1.73;0.58;26;3.5
TT;33.53;70.71;61.35;165.59;1.59;0.65;17;2.3
UU;51.42;97;100.67;249.09;1.42;0.08;12;1.6
VV;97;56;93;246;1;0.67;3;0.4
WW;84;45.5;80.25;209.75;0.75;0;4;0.5
XX;36.5;28.5;96.5;161.5;1;0;2;0.3
YY;66.33;41;149;256.33;1;0.33;3;0.4
ZZ;0;0;0;0;0;0;0;0
