properties/name_in_uri,Patentbelasting,Personelebelasting,Grondbelasting,Totaalbelasting,Dienstboden,Personen_per_wijk
buurt-a,88.267,129.533,58.333,276.133,1.133,15
buurt-b,81.077,136.385,45.423,262.885,1.5,26
buurt-c,58.848,112.909,74.606,246.363,1.212,33
buurt-d,95.933,165.467,133.867,395.267,1.333,15
buurt-e,114.611,118.111,56.167,288.889,1.278,18
buurt-f,37.538,120.077,56.615,214.23,1.769,13
buurt-g,70.276,115.103,64.241,249.62,1.207,29
buurt-h,51.625,111.667,47.542,210.834,0.875,24
buurt-j,74.313,84.5,63.125,221.938,0.625,16
buurt-k,53.034,76.69,50.621,180.345,1,29
buurt-l,49.65,112.7,36.75,199.1,0.75,20
buurt-m,42.667,73,58.167,173.834,0.5,6
buurt-n,56.385,72.692,68,197.077,1.077,13
buurt-o,78.6,114.4,81,274,1,5
buurt-p,62.182,59.455,51,172.637,0.909,11
buurt-q,52.667,68.556,454.333,575.556,0.889,9
buurt-r,47.667,71.667,99,218.334,1,3
buurt-s,34,19,101.333,154.333,0,3
buurt-t,74.4,52.8,55.4,182.6,0.6,5
buurt-u,81.065,105.806,19.871,206.742,1.065,31
buurt-v,67.121,151.394,59.394,277.909,1.788,33
buurt-w,65.333,143.296,56.981,265.61,1.556,54
buurt-x,103.705,170.432,91.455,365.592,1.25,44
buurt-y,99.323,275.194,111.452,485.969,2.032,31
buurt-z,55.81,149.121,55.466,260.397,1.448,58
buurt-aa,76.792,95.792,76.333,248.917,1.167,24
buurt-bb,39.389,150.278,44.444,234.111,1.5,18
buurt-cc,68.04,121.6,48.92,238.56,1.12,25
buurt-dd,37.5,59,78.5,175,0.75,4
buurt-ee,30.875,42.625,80.25,153.75,0.375,8
buurt-ff,42.667,63,93.667,199.334,0.667,3
buurt-gg,30,74.8,108,212.8,0.6,5
buurt-hh,120.2,170.12,62.8,353.12,1.12,25
buurt-jj,71.607,137.179,61.321,270.107,1.393,28
buurt-kk,63.048,150.714,47.262,261.024,1.548,42
buurt-ll,71.946,168.216,78.892,319.054,1.946,37
buurt-mm,37.6,65.8,80.2,183.6,1.3,10
buurt-nn,105.5,117.5,35,258,1.5,2
buurt-oo,50.5,41,38.5,130,1,2
buurt-pp,22.667,24.5,94.5,141.667,0,6
buurt-qq,75.25,42,39.75,157,0.5,4
buurt-rr,105.447,161.263,59.053,325.763,1.474,38
buurt-ss,88.828,173.655,48.103,310.586,1.552,29
buurt-tt,66.8,69.15,45.8,181.75,0.6,20
buurt-uu,37,75.333,71.444,183.777,0.778,9
buurt-vv,191,65.5,17,273.5,1,2
buurt-ww,79.333,60,11.333,150.666,1,3
buurt-xx,90.156,165.781,53.719,309.656,1.781,32
buurt-yy,63.217,117.817,43.45,224.484,1.417,60
buurt-zz,65.3,77.3,22.2,164.8,1.1,10
